Title,Abstract,PDF Link
Improving Physics-Augmented Continuum Neural Radiance Field-Based Geometry-Agnostic System Identification with Lagrangian Particle Optimization,Takuhiro Kaneko,/content/CVPR2024/html/Kaneko_Improving_Physics-Augmented_Continuum_Neural_Radiance_Field-Based_Geometry-Agnostic_System_Identification_with_CVPR_2024_paper.html
BadCLIP: Trigger-Aware Prompt Learning for Backdoor Attacks on CLIP,"Jiawang Bai,



Kuofeng Gao,



Shaobo Min,



Shu-Tao Xia,



Zhifeng Li,



Wei Liu",/content/CVPR2024/html/Bai_BadCLIP_Trigger-Aware_Prompt_Learning_for_Backdoor_Attacks_on_CLIP_CVPR_2024_paper.html
Beyond Image Super-Resolution for Image Recognition with Task-Driven Perceptual Loss,"Jaeha Kim,



Junghun Oh,



Kyoung Mu Lee",/content/CVPR2024/html/Kim_Beyond_Image_Super-Resolution_for_Image_Recognition_with_Task-Driven_Perceptual_Loss_CVPR_2024_paper.html
PELA: Learning Parameter-Efficient Models with Low-Rank Approximation,"Yangyang Guo,



Guangzhi Wang,



Mohan Kankanhalli",/content/CVPR2024/html/Guo_PELA_Learning_Parameter-Efficient_Models_with_Low-Rank_Approximation_CVPR_2024_paper.html
XCube: Large-Scale 3D Generative Modeling using Sparse Voxel Hierarchies,"Xuanchi Ren,



Jiahui Huang,



Xiaohui Zeng,



Ken Museth,



Sanja Fidler,



Francis Williams",/content/CVPR2024/html/Ren_XCube_Large-Scale_3D_Generative_Modeling_using_Sparse_Voxel_Hierarchies_CVPR_2024_paper.html
PixelRNN: In-pixel Recurrent Neural Networks for End-to-end-optimized Perception with Neural Sensors,"Haley M. So,



Laurie Bose,



Piotr Dudek,



Gordon Wetzstein",/content/CVPR2024/html/So_PixelRNN_In-pixel_Recurrent_Neural_Networks_for_End-to-end-optimized_Perception_with_Neural_CVPR_2024_paper.html
Reconstruction-free Cascaded Adaptive Compressive Sensing,"Chenxi Qiu,



Tao Yue,



Xuemei Hu",/content/CVPR2024/html/Qiu_Reconstruction-free_Cascaded_Adaptive_Compressive_Sensing_CVPR_2024_paper.html
Auto-Train-Once: Controller Network Guided Automatic Network Pruning from Scratch,"Xidong Wu,



Shangqian Gao,



Zeyu Zhang,



Zhenzhen Li,



Runxue Bao,



Yanfu Zhang,



Xiaoqian Wang,



Heng Huang",/content/CVPR2024/html/Wu_Auto-Train-Once_Controller_Network_Guided_Automatic_Network_Pruning_from_Scratch_CVPR_2024_paper.html
Constructing and Exploring Intermediate Domains in Mixed Domain Semi-supervised Medical Image Segmentation,"Qinghe Ma,



Jian Zhang,



Lei Qi,



Qian Yu,



Yinghuan Shi,



Yang Gao",/content/CVPR2024/html/Ma_Constructing_and_Exploring_Intermediate_Domains_in_Mixed_Domain_Semi-supervised_Medical_CVPR_2024_paper.html
DUSt3R: Geometric 3D Vision Made Easy,"Shuzhe Wang,



Vincent Leroy,



Yohann Cabon,



Boris Chidlovskii,



Jerome Revaud",/content/CVPR2024/html/Wang_DUSt3R_Geometric_3D_Vision_Made_Easy_CVPR_2024_paper.html
From Isolated Islands to Pangea: Unifying Semantic Space for Human Action Understanding,"Yong-Lu Li,



Xiaoqian Wu,



Xinpeng Liu,



Zehao Wang,



Yiming Dou,



Yikun Ji,



Junyi Zhang,



Yixing Li,



Xudong Lu,



Jingru Tan,



Cewu Lu",/content/CVPR2024/html/Li_From_Isolated_Islands_to_Pangea_Unifying_Semantic_Space_for_Human_CVPR_2024_paper.html
Bootstrapping Autonomous Driving Radars with Self-Supervised Learning,"Yiduo Hao,



Sohrab Madani,



Junfeng Guan,



Mohammed Alloulah,



Saurabh Gupta,



Haitham Hassanieh",/content/CVPR2024/html/Hao_Bootstrapping_Autonomous_Driving_Radars_with_Self-Supervised_Learning_CVPR_2024_paper.html
Robust Distillation via Untargeted and Targeted Intermediate Adversarial Samples,"Junhao Dong,



Piotr Koniusz,



Junxi Chen,



Z. Jane Wang,



Yew-Soon Ong",/content/CVPR2024/html/Dong_Robust_Distillation_via_Untargeted_and_Targeted_Intermediate_Adversarial_Samples_CVPR_2024_paper.html
USE: Universal Segment Embeddings for Open-Vocabulary Image Segmentation,"Xiaoqi Wang,



Wenbin He,



Xiwei Xuan,



Clint Sebastian,



Jorge Piazentin Ono,



Xin Li,



Sima Behpour,



Thang Doan,



Liang Gou,



Han-Wei Shen,



Liu Ren",/content/CVPR2024/html/Wang_USE_Universal_Segment_Embeddings_for_Open-Vocabulary_Image_Segmentation_CVPR_2024_paper.html
Functional Diffusion,"Biao Zhang,



Peter Wonka",/content/CVPR2024/html/Zhang_Functional_Diffusion_CVPR_2024_paper.html
Soften to Defend: Towards Adversarial Robustness via Self-Guided Label Refinement,"Zhuorong Li,



Daiwei Yu,



Lina Wei,



Canghong Jin,



Yun Zhang,



Sixian Chan",/content/CVPR2024/html/Li_Soften_to_Defend_Towards_Adversarial_Robustness_via_Self-Guided_Label_Refinement_CVPR_2024_paper.html
Weakly Supervised Monocular 3D Detection with a Single-View Image,"Xueying Jiang,



Sheng Jin,



Lewei Lu,



Xiaoqin Zhang,



Shijian Lu",/content/CVPR2024/html/Jiang_Weakly_Supervised_Monocular_3D_Detection_with_a_Single-View_Image_CVPR_2024_paper.html
Pose-Guided Self-Training with Two-Stage Clustering for Unsupervised Landmark Discovery,"Siddharth Tourani,



Ahmed Alwheibi,



Arif Mahmood,



Muhammad Haris Khan",/content/CVPR2024/html/Tourani_Pose-Guided_Self-Training_with_Two-Stage_Clustering_for_Unsupervised_Landmark_Discovery_CVPR_2024_paper.html
Learning from Synthetic Human Group Activities,"Che-Jui Chang,



Danrui Li,



Deep Patel,



Parth Goel,



Honglu Zhou,



Seonghyeon Moon,



Samuel S. Sohn,



Sejong Yoon,



Vladimir Pavlovic,



Mubbasir Kapadia",/content/CVPR2024/html/Chang_Learning_from_Synthetic_Human_Group_Activities_CVPR_2024_paper.html
Blind Image Quality Assessment Based on Geometric Order Learning,"Nyeong-Ho Shin,



Seon-Ho Lee,



Chang-Su Kim",/content/CVPR2024/html/Shin_Blind_Image_Quality_Assessment_Based_on_Geometric_Order_Learning_CVPR_2024_paper.html
Text Grouping Adapter: Adapting Pre-trained Text Detector for Layout Analysis,"Tianci Bi,



Xiaoyi Zhang,



Zhizheng Zhang,



Wenxuan Xie,



Cuiling Lan,



Yan Lu,



Nanning Zheng",/content/CVPR2024/html/Bi_Text_Grouping_Adapter_Adapting_Pre-trained_Text_Detector_for_Layout_Analysis_CVPR_2024_paper.html
Generalizable Whole Slide Image Classification with Fine-Grained Visual-Semantic Interaction,"Hao Li,



Ying Chen,



Yifei Chen,



Rongshan Yu,



Wenxian Yang,



Liansheng Wang,



Bowen Ding,



Yuchen Han",/content/CVPR2024/html/Li_Generalizable_Whole_Slide_Image_Classification_with_Fine-Grained_Visual-Semantic_Interaction_CVPR_2024_paper.html
THRONE: An Object-based Hallucination Benchmark for the Free-form Generations of Large Vision-Language Models,"Prannay Kaul,



Zhizhong Li,



Hao Yang,



Yonatan Dukler,



Ashwin Swaminathan,



C. J. Taylor,



Stefano Soatto",/content/CVPR2024/html/Kaul_THRONE_An_Object-based_Hallucination_Benchmark_for_the_Free-form_Generations_of_CVPR_2024_paper.html
Wired Perspectives: Multi-View Wire Art Embraces Generative AI,"Zhiyu Qu,



Lan Yang,



Honggang Zhang,



Tao Xiang,



Kaiyue Pang,



Yi-Zhe Song",/content/CVPR2024/html/Qu_Wired_Perspectives_Multi-View_Wire_Art_Embraces_Generative_AI_CVPR_2024_paper.html
LUWA Dataset: Learning Lithic Use-Wear Analysis on Microscopic Images,"Jing Zhang,



Irving Fang,



Hao Wu,



Akshat Kaushik,



Alice Rodriguez,



Hanwen Zhao,



Juexiao Zhang,



Zhuo Zheng,



Radu Iovita,



Chen Feng",/content/CVPR2024/html/Zhang_LUWA_Dataset_Learning_Lithic_Use-Wear_Analysis_on_Microscopic_Images_CVPR_2024_paper.html
Generalizing 6-DoF Grasp Detection via Domain Prior Knowledge,"Haoxiang Ma,



Modi Shi,



Boyang Gao,



Di Huang",/content/CVPR2024/html/Ma_Generalizing_6-DoF_Grasp_Detection_via_Domain_Prior_Knowledge_CVPR_2024_paper.html
The Audio-Visual Conversational Graph: From an Egocentric-Exocentric Perspective,"Wenqi Jia,



Miao Liu,



Hao Jiang,



Ishwarya Ananthabhotla,



James M. Rehg,



Vamsi Krishna Ithapu,



Ruohan Gao",/content/CVPR2024/html/Jia_The_Audio-Visual_Conversational_Graph_From_an_Egocentric-Exocentric_Perspective_CVPR_2024_paper.html
Byzantine-robust Decentralized Federated Learning via Dual-domain Clustering and Trust Bootstrapping,"Peng Sun,



Xinyang Liu,



Zhibo Wang,



Bo Liu",/content/CVPR2024/html/Sun_Byzantine-robust_Decentralized_Federated_Learning_via_Dual-domain_Clustering_and_Trust_Bootstrapping_CVPR_2024_paper.html
Leveraging Camera Triplets for Efficient and Accurate Structure-from-Motion,"Lalit Manam,



Venu Madhav Govindu",/content/CVPR2024/html/Manam_Leveraging_Camera_Triplets_for_Efficient_and_Accurate_Structure-from-Motion_CVPR_2024_paper.html
SimDA: Simple Diffusion Adapter for Efficient Video Generation,"Zhen Xing,



Qi Dai,



Han Hu,



Zuxuan Wu,



Yu-Gang Jiang",/content/CVPR2024/html/Xing_SimDA_Simple_Diffusion_Adapter_for_Efficient_Video_Generation_CVPR_2024_paper.html
Multi-view Aggregation Network for Dichotomous Image Segmentation,"Qian Yu,



Xiaoqi Zhao,



Youwei Pang,



Lihe Zhang,



Huchuan Lu",/content/CVPR2024/html/Yu_Multi-view_Aggregation_Network_for_Dichotomous_Image_Segmentation_CVPR_2024_paper.html
A Recipe for Scaling up Text-to-Video Generation with Text-free Videos,"Xiang Wang,



Shiwei Zhang,



Hangjie Yuan,



Zhiwu Qing,



Biao Gong,



Yingya Zhang,



Yujun Shen,



Changxin Gao,



Nong Sang",/content/CVPR2024/html/Wang_A_Recipe_for_Scaling_up_Text-to-Video_Generation_with_Text-free_Videos_CVPR_2024_paper.html
Molecular Data Programming: Towards Molecule Pseudo-labeling with Systematic Weak Supervision,"Xin Juan,



Kaixiong Zhou,



Ninghao Liu,



Tianlong Chen,



Xin Wang",/content/CVPR2024/html/Juan_Molecular_Data_Programming_Towards_Molecule_Pseudo-labeling_with_Systematic_Weak_Supervision_CVPR_2024_paper.html
RadSimReal: Bridging the Gap Between Synthetic and Real Data in Radar Object Detection With Simulation,"Oded Bialer,



Yuval Haitman",/content/CVPR2024/html/Bialer_RadSimReal_Bridging_the_Gap_Between_Synthetic_and_Real_Data_in_CVPR_2024_paper.html
No More Ambiguity in 360deg Room Layout via Bi-Layout Estimation,"Yu-Ju Tsai,



Jin-Cheng Jhang,



Jingjing Zheng,



Wei Wang,



Albert Y. C. Chen,



Min Sun,



Cheng-Hao Kuo,



Ming-Hsuan Yang",/content/CVPR2024/html/Tsai_No_More_Ambiguity_in_360deg_Room_Layout_via_Bi-Layout_Estimation_CVPR_2024_paper.html
Residual Denoising Diffusion Models,"Jiawei Liu,



Qiang Wang,



Huijie Fan,



Yinong Wang,



Yandong Tang,



Liangqiong Qu",/content/CVPR2024/html/Liu_Residual_Denoising_Diffusion_Models_CVPR_2024_paper.html
Towards Accurate and Robust Architectures via Neural Architecture Search,"Yuwei Ou,



Yuqi Feng,



Yanan Sun",/content/CVPR2024/html/Ou_Towards_Accurate_and_Robust_Architectures_via_Neural_Architecture_Search_CVPR_2024_paper.html
Closely Interactive Human Reconstruction with Proxemics and Physics-Guided Adaption,"Buzhen Huang,



Chen Li,



Chongyang Xu,



Liang Pan,



Yangang Wang,



Gim Hee Lee",/content/CVPR2024/html/Huang_Closely_Interactive_Human_Reconstruction_with_Proxemics_and_Physics-Guided_Adaption_CVPR_2024_paper.html
A Noisy Elephant in the Room: Is Your Out-of-Distribution Detector Robust to Label Noise?,"Galadrielle Humblot-Renaux,



Sergio Escalera,



Thomas B. Moeslund",/content/CVPR2024/html/Humblot-Renaux_A_Noisy_Elephant_in_the_Room_Is_Your_Out-of-Distribution_Detector_CVPR_2024_paper.html
VideoMAC: Video Masked Autoencoders Meet ConvNets,"Gensheng Pei,



Tao Chen,



Xiruo Jiang,



Huafeng Liu,



Zeren Sun,



Yazhou Yao",/content/CVPR2024/html/Pei_VideoMAC_Video_Masked_Autoencoders_Meet_ConvNets_CVPR_2024_paper.html
Taming Stable Diffusion for Text to 360 Panorama Image Generation,"Cheng Zhang,



Qianyi Wu,



Camilo Cruz Gambardella,



Xiaoshui Huang,



Dinh Phung,



Wanli Ouyang,



Jianfei Cai",/content/CVPR2024/html/Zhang_Taming_Stable_Diffusion_for_Text_to_360_Panorama_Image_Generation_CVPR_2024_paper.html
3DSFLabelling: Boosting 3D Scene Flow Estimation by Pseudo Auto-labelling,"Chaokang Jiang,



Guangming Wang,



Jiuming Liu,



Hesheng Wang,



Zhuang Ma,



Zhenqiang Liu,



Zhujin Liang,



Yi Shan,



Dalong Du",/content/CVPR2024/html/Jiang_3DSFLabelling_Boosting_3D_Scene_Flow_Estimation_by_Pseudo_Auto-labelling_CVPR_2024_paper.html
Unsigned Orthogonal Distance Fields: An Accurate Neural Implicit Representation for Diverse 3D Shapes,"Yujie Lu,



Long Wan,



Nayu Ding,



Yulong Wang,



Shuhan Shen,



Shen Cai,



Lin Gao",/content/CVPR2024/html/Lu_Unsigned_Orthogonal_Distance_Fields_An_Accurate_Neural_Implicit_Representation_for_CVPR_2024_paper.html
Modular Blind Video Quality Assessment,"Wen Wen,



Mu Li,



Yabin Zhang,



Yiting Liao,



Junlin Li,



Li Zhang,



Kede Ma",/content/CVPR2024/html/Wen_Modular_Blind_Video_Quality_Assessment_CVPR_2024_paper.html
Question Aware Vision Transformer for Multimodal Reasoning,"Roy Ganz,



Yair Kittenplon,



Aviad Aberdam,



Elad Ben Avraham,



Oren Nuriel,



Shai Mazor,



Ron Litman",/content/CVPR2024/html/Ganz_Question_Aware_Vision_Transformer_for_Multimodal_Reasoning_CVPR_2024_paper.html
OST: Refining Text Knowledge with Optimal Spatio-Temporal Descriptor for General Video Recognition,"Tongjia Chen,



Hongshan Yu,



Zhengeng Yang,



Zechuan Li,



Wei Sun,



Chen Chen",/content/CVPR2024/html/Chen_OST_Refining_Text_Knowledge_with_Optimal_Spatio-Temporal_Descriptor_for_General_CVPR_2024_paper.html
Habitat Synthetic Scenes Dataset (HSSD-200): An Analysis of 3D Scene Scale and Realism Tradeoffs for ObjectGoal Navigation,"Mukul Khanna,



Yongsen Mao,



Hanxiao Jiang,



Sanjay Haresh,



Brennan Shacklett,



Dhruv Batra,



Alexander Clegg,



Eric Undersander,



Angel X. Chang,



Manolis Savva",/content/CVPR2024/html/Khanna_Habitat_Synthetic_Scenes_Dataset_HSSD-200_An_Analysis_of_3D_Scene_CVPR_2024_paper.html
OA-CNNs: Omni-Adaptive Sparse CNNs for 3D Semantic Segmentation,"Bohao Peng,



Xiaoyang Wu,



Li Jiang,



Yukang Chen,



Hengshuang Zhao,



Zhuotao Tian,



Jiaya Jia",/content/CVPR2024/html/Peng_OA-CNNs_Omni-Adaptive_Sparse_CNNs_for_3D_Semantic_Segmentation_CVPR_2024_paper.html
RELI11D: A Comprehensive Multimodal Human Motion Dataset and Method,"Ming Yan,



Yan Zhang,



Shuqiang Cai,



Shuqi Fan,



Xincheng Lin,



Yudi Dai,



Siqi Shen,



Chenglu Wen,



Lan Xu,



Yuexin Ma,



Cheng Wang",/content/CVPR2024/html/Yan_RELI11D_A_Comprehensive_Multimodal_Human_Motion_Dataset_and_Method_CVPR_2024_paper.html
Generative Image Dynamics,"Zhengqi Li,



Richard Tucker,



Noah Snavely,



Aleksander Holynski",/content/CVPR2024/html/Li_Generative_Image_Dynamics_CVPR_2024_paper.html
One-Class Face Anti-spoofing via Spoof Cue Map-Guided Feature Learning,"Pei-Kai Huang,



Cheng-Hsuan Chiang,



Tzu-Hsien Chen,



Jun-Xiong Chong,



Tyng-Luh Liu,



Chiou-Ting Hsu",/content/CVPR2024/html/Huang_One-Class_Face_Anti-spoofing_via_Spoof_Cue_Map-Guided_Feature_Learning_CVPR_2024_paper.html
On the Test-Time Zero-Shot Generalization of Vision-Language Models: Do We Really Need Prompt Learning?,"Maxime Zanella,



Ismail Ben Ayed",/content/CVPR2024/html/Zanella_On_the_Test-Time_Zero-Shot_Generalization_of_Vision-Language_Models_Do_We_CVPR_2024_paper.html
InteractDiffusion: Interaction Control in Text-to-Image Diffusion Models,"Jiun Tian Hoe,



Xudong Jiang,



Chee Seng Chan,



Yap-Peng Tan,



Weipeng Hu",/content/CVPR2024/html/Hoe_InteractDiffusion_Interaction_Control_in_Text-to-Image_Diffusion_Models_CVPR_2024_paper.html
NViST: In the Wild New View Synthesis from a Single Image with Transformers,"Wonbong Jang,



Lourdes Agapito",/content/CVPR2024/html/Jang_NViST_In_the_Wild_New_View_Synthesis_from_a_Single_CVPR_2024_paper.html
Beyond Text: Frozen Large Language Models in Visual Signal Comprehension,"Lei Zhu,



Fangyun Wei,



Yanye Lu",/content/CVPR2024/html/Zhu_Beyond_Text_Frozen_Large_Language_Models_in_Visual_Signal_Comprehension_CVPR_2024_paper.html
Rotated Multi-Scale Interaction Network for Referring Remote Sensing Image Segmentation,"Sihan Liu,



Yiwei Ma,



Xiaoqing Zhang,



Haowei Wang,



Jiayi Ji,



Xiaoshuai Sun,



Rongrong Ji",/content/CVPR2024/html/Liu_Rotated_Multi-Scale_Interaction_Network_for_Referring_Remote_Sensing_Image_Segmentation_CVPR_2024_paper.html
GLACE: Global Local Accelerated Coordinate Encoding,"Fangjinhua Wang,



Xudong Jiang,



Silvano Galliani,



Christoph Vogel,



Marc Pollefeys",/content/CVPR2024/html/Wang_GLACE_Global_Local_Accelerated_Coordinate_Encoding_CVPR_2024_paper.html
Emergent Open-Vocabulary Semantic Segmentation from Off-the-shelf Vision-Language Models,"Jiayun Luo,



Siddhesh Khandelwal,



Leonid Sigal,



Boyang Li",/content/CVPR2024/html/Luo_Emergent_Open-Vocabulary_Semantic_Segmentation_from_Off-the-shelf_Vision-Language_Models_CVPR_2024_paper.html
Localization Is All You Evaluate: Data Leakage in Online Mapping Datasets and How to Fix It,"Adam Lilja,



Junsheng Fu,



Erik Stenborg,



Lars Hammarstrand",/content/CVPR2024/html/Lilja_Localization_Is_All_You_Evaluate_Data_Leakage_in_Online_Mapping_CVPR_2024_paper.html
Alchemist: Parametric Control of Material Properties with Diffusion Models,"Prafull Sharma,



Varun Jampani,



Yuanzhen Li,



Xuhui Jia,



Dmitry Lagun,



Fredo Durand,



Bill Freeman,



Mark Matthews",/content/CVPR2024/html/Sharma_Alchemist_Parametric_Control_of_Material_Properties_with_Diffusion_Models_CVPR_2024_paper.html
Step Differences in Instructional Video,"Tushar Nagarajan,



Lorenzo Torresani",/content/CVPR2024/html/Nagarajan_Step_Differences_in_Instructional_Video_CVPR_2024_paper.html
Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data,"Lihe Yang,



Bingyi Kang,



Zilong Huang,



Xiaogang Xu,



Jiashi Feng,



Hengshuang Zhao",/content/CVPR2024/html/Yang_Depth_Anything_Unleashing_the_Power_of_Large-Scale_Unlabeled_Data_CVPR_2024_paper.html
SelfPose3d: Self-Supervised Multi-Person Multi-View 3d Pose Estimation,"Vinkle Srivastav,



Keqi Chen,



Nicolas Padoy",/content/CVPR2024/html/Srivastav_SelfPose3d_Self-Supervised_Multi-Person_Multi-View_3d_Pose_Estimation_CVPR_2024_paper.html
MoDE: CLIP Data Experts via Clustering,"Jiawei Ma,



Po-Yao Huang,



Saining Xie,



Shang-Wen Li,



Luke Zettlemoyer,



Shih-Fu Chang,



Wen-Tau Yih,



Hu Xu",/content/CVPR2024/html/Ma_MoDE_CLIP_Data_Experts_via_Clustering_CVPR_2024_paper.html
Joint2Human: High-Quality 3D Human Generation via Compact Spherical Embedding of 3D Joints,"Muxin Zhang,



Qiao Feng,



Zhuo Su,



Chao Wen,



Zhou Xue,



Kun Li",/content/CVPR2024/html/Zhang_Joint2Human_High-Quality_3D_Human_Generation_via_Compact_Spherical_Embedding_of_CVPR_2024_paper.html
"Prompt-Free Diffusion: Taking ""Text"" out of Text-to-Image Diffusion Models","Xingqian Xu,



Jiayi Guo,



Zhangyang Wang,



Gao Huang,



Irfan Essa,



Humphrey Shi",/content/CVPR2024/html/Xu_Prompt-Free_Diffusion_Taking_Text_out_of_Text-to-Image_Diffusion_Models_CVPR_2024_paper.html
MPOD123: One Image to 3D Content Generation Using Mask-enhanced Progressive Outline-to-Detail Optimization,"Jimin Xu,



Tianbao Wang,



Tao Jin,



Shengyu Zhang,



Dongjie Fu,



Zhe Wang,



Jiangjing Lyu,



Chengfei Lv,



Chaoyue Niu,



Zhou Yu,



Zhou Zhao,



Fei Wu",/content/CVPR2024/html/Xu_MPOD123_One_Image_to_3D_Content_Generation_Using_Mask-enhanced_Progressive_CVPR_2024_paper.html
Multi-agent Long-term 3D Human Pose Forecasting via Interaction-aware Trajectory Conditioning,"Jaewoo Jeong,



Daehee Park,



Kuk-Jin Yoon",/content/CVPR2024/html/Jeong_Multi-agent_Long-term_3D_Human_Pose_Forecasting_via_Interaction-aware_Trajectory_Conditioning_CVPR_2024_paper.html
UnionFormer: Unified-Learning Transformer with Multi-View Representation for Image Manipulation Detection and Localization,"Shuaibo Li,



Wei Ma,



Jianwei Guo,



Shibiao Xu,



Benchong Li,



Xiaopeng Zhang",/content/CVPR2024/html/Li_UnionFormer_Unified-Learning_Transformer_with_Multi-View_Representation_for_Image_Manipulation_Detection_CVPR_2024_paper.html
Situational Awareness Matters in 3D Vision Language Reasoning,"Yunze Man,



Liang-Yan Gui,



Yu-Xiong Wang",/content/CVPR2024/html/Man_Situational_Awareness_Matters_in_3D_Vision_Language_Reasoning_CVPR_2024_paper.html
RCBEVDet: Radar-camera Fusion in Bird's Eye View for 3D Object Detection,"Zhiwei Lin,



Zhe Liu,



Zhongyu Xia,



Xinhao Wang,



Yongtao Wang,



Shengxiang Qi,



Yang Dong,



Nan Dong,



Le Zhang,



Ce Zhu",/content/CVPR2024/html/Lin_RCBEVDet_Radar-camera_Fusion_in_Birds_Eye_View_for_3D_Object_CVPR_2024_paper.html
CLOAF: CoLlisiOn-Aware Human Flow,"Andrey Davydov,



Martin Engilberge,



Mathieu Salzmann,



Pascal Fua",/content/CVPR2024/html/Davydov_CLOAF_CoLlisiOn-Aware_Human_Flow_CVPR_2024_paper.html
Hybrid Functional Maps for Crease-Aware Non-Isometric Shape Matching,"Lennart Bastian,



Yizheng Xie,



Nassir Navab,



Zorah Lähner",/content/CVPR2024/html/Bastian_Hybrid_Functional_Maps_for_Crease-Aware_Non-Isometric_Shape_Matching_CVPR_2024_paper.html
Density-Guided Semi-Supervised 3D Semantic Segmentation with Dual-Space Hardness Sampling,"Jianan Li,



Qiulei Dong",/content/CVPR2024/html/Li_Density-Guided_Semi-Supervised_3D_Semantic_Segmentation_with_Dual-Space_Hardness_Sampling_CVPR_2024_paper.html
Adaptive Softassign via Hadamard-Equipped Sinkhorn,"Binrui Shen,



Qiang Niu,



Shengxin Zhu",/content/CVPR2024/html/Shen_Adaptive_Softassign_via_Hadamard-Equipped_Sinkhorn_CVPR_2024_paper.html
Re-thinking Data Availability Attacks Against Deep Neural Networks,"Bin Fang,



Bo Li,



Shuang Wu,



Shouhong Ding,



Ran Yi,



Lizhuang Ma",/content/CVPR2024/html/Fang_Re-thinking_Data_Availability_Attacks_Against_Deep_Neural_Networks_CVPR_2024_paper.html
ElasticDiffusion: Training-free Arbitrary Size Image Generation through Global-Local Content Separation,"Moayed Haji-Ali,



Guha Balakrishnan,



Vicente Ordonez",/content/CVPR2024/html/Haji-Ali_ElasticDiffusion_Training-free_Arbitrary_Size_Image_Generation_through_Global-Local_Content_Separation_CVPR_2024_paper.html
Locally Adaptive Neural 3D Morphable Models,"Michail Tarasiou,



Rolandos Alexandros Potamias,



Eimear O'Sullivan,



Stylianos Ploumpis,



Stefanos Zafeiriou",/content/CVPR2024/html/Tarasiou_Locally_Adaptive_Neural_3D_Morphable_Models_CVPR_2024_paper.html
ICON: Incremental CONfidence for Joint Pose and Radiance Field Optimization,"Weiyao Wang,



Pierre Gleize,



Hao Tang,



Xingyu Chen,



Kevin J Liang,



Matt Feiszli",/content/CVPR2024/html/Wang_ICON_Incremental_CONfidence_for_Joint_Pose_and_Radiance_Field_Optimization_CVPR_2024_paper.html
Learned Scanpaths Aid Blind Panoramic Video Quality Assessment,"Kanglong Fan,



Wen Wen,



Mu Li,



Yifan Peng,



Kede Ma",/content/CVPR2024/html/Fan_Learned_Scanpaths_Aid_Blind_Panoramic_Video_Quality_Assessment_CVPR_2024_paper.html
FineSports: A Multi-person Hierarchical Sports Video Dataset for Fine-grained Action Understanding,"Jinglin Xu,



Guohao Zhao,



Sibo Yin,



Wenhao Zhou,



Yuxin Peng",/content/CVPR2024/html/Xu_FineSports_A_Multi-person_Hierarchical_Sports_Video_Dataset_for_Fine-grained_Action_CVPR_2024_paper.html
SHiNe: Semantic Hierarchy Nexus for Open-vocabulary Object Detection,"Mingxuan Liu,



Tyler L. Hayes,



Elisa Ricci,



Gabriela Csurka,



Riccardo Volpi",/content/CVPR2024/html/Liu_SHiNe_Semantic_Hierarchy_Nexus_for_Open-vocabulary_Object_Detection_CVPR_2024_paper.html
TI2V-Zero: Zero-Shot Image Conditioning for Text-to-Video Diffusion Models,"Haomiao Ni,



Bernhard Egger,



Suhas Lohit,



Anoop Cherian,



Ye Wang,



Toshiaki Koike-Akino,



Sharon X. Huang,



Tim K. Marks",/content/CVPR2024/html/Ni_TI2V-Zero_Zero-Shot_Image_Conditioning_for_Text-to-Video_Diffusion_Models_CVPR_2024_paper.html
Ranking Distillation for Open-Ended Video Question Answering with Insufficient Labels,"Tianming Liang,



Chaolei Tan,



Beihao Xia,



Wei-Shi Zheng,



Jian-Fang Hu",/content/CVPR2024/html/Liang_Ranking_Distillation_for_Open-Ended_Video_Question_Answering_with_Insufficient_Labels_CVPR_2024_paper.html
GARField: Group Anything with Radiance Fields,"Chung Min Kim,



Mingxuan Wu,



Justin Kerr,



Ken Goldberg,



Matthew Tancik,



Angjoo Kanazawa",/content/CVPR2024/html/Kim_GARField_Group_Anything_with_Radiance_Fields_CVPR_2024_paper.html
Depth-Aware Concealed Crop Detection in Dense Agricultural Scenes,"Liqiong Wang,



Jinyu Yang,



Yanfu Zhang,



Fangyi Wang,



Feng Zheng",/content/CVPR2024/html/Wang_Depth-Aware_Concealed_Crop_Detection_in_Dense_Agricultural_Scenes_CVPR_2024_paper.html
Learning Equi-angular Representations for Online Continual Learning,"Minhyuk Seo,



Hyunseo Koh,



Wonje Jeung,



Minjae Lee,



San Kim,



Hankook Lee,



Sungjun Cho,



Sungik Choi,



Hyunwoo Kim,



Jonghyun Choi",/content/CVPR2024/html/Seo_Learning_Equi-angular_Representations_for_Online_Continual_Learning_CVPR_2024_paper.html
iToF-flow-based High Frame Rate Depth Imaging,"Yu Meng,



Zhou Xue,



Xu Chang,



Xuemei Hu,



Tao Yue",/content/CVPR2024/html/Meng_iToF-flow-based_High_Frame_Rate_Depth_Imaging_CVPR_2024_paper.html
Solving the Catastrophic Forgetting Problem in Generalized Category Discovery,"Xinzi Cao,



Xiawu Zheng,



Guanhong Wang,



Weijiang Yu,



Yunhang Shen,



Ke Li,



Yutong Lu,



Yonghong Tian",/content/CVPR2024/html/Cao_Solving_the_Catastrophic_Forgetting_Problem_in_Generalized_Category_Discovery_CVPR_2024_paper.html
